Name,Year,Venue,Cls1,Cls2,Platform1,Download_Link1,Platform2,Download_Link2,Needs_Application,Comments,Error,ModelScope_Mirror,GitHub_Repo,GitHub_Stars
RS-HyRe-R1,2026,arXiv,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/geozgz/RS-HyRe-R1,,,No,"Paper: https://arxiv.org/abs/2604.17504. Addresses 'perceptual inertia' induced by RL tuning in remote sensing VLMs with a hybrid reward mechanism encouraging broader spatial reasoning, accurate perception, and less repetitive evidence building; reports strong results on REC, OVD, and VQA with zero-shot generalization. Weights (Qwen2.5-VL-based) on HuggingFace (geozgz/RS-HyRe-R1, open access); pre-processed datasets provided in the GitHub repo.",,No,https://github.com/GeoX-Lab/RS-HyRe-R1,1
RSThinker,2026,ICLR,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/minglanga/RSThinker,,,No,"Paper: https://arxiv.org/abs/2509.22221 (ICLR 2026, OpenReview id lJ7zecny2e). Proposes Geo-CoT, a perceptually-grounded geospatial chain-of-thought for remote sensing VLMs; trains with SFT and GRPO on the Geo-CoT380k corpus so RSThinker outputs answers with verifiable analytical traces. Weights (GLM-4V-based) hosted on HuggingFace (minglanga/RSThinker, open access); companion dataset Geo-CoT380k released as HF dataset minglanga/GeoCoT380k.",,No,https://github.com/minglangL/RSThinker,38
Earth AI,2025,arXiv,Reasoning Models,Agentic / Tool-Augmented Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2510.18318. Presents Earth AI, a Gemini-powered geospatial agent that combines specialized Earth-data foundation models (global imagery, population, environmental signals) with a cross-modal reasoning layer and an agent that coordinates models, large datasets, and external tools for multi-part, crisis-response questions. Closed-source system; no public GitHub repository or model weights were found (related project page: https://x.company/projects/bellwether/).",No public code or model weights released; closed-source.,No,No,
EarthAgent,2025,arXiv,Reasoning Models,Agentic / Tool-Augmented Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2511.17198. Proposes designing domain-specific agents via a Hierarchical Task Abstraction Mechanism (HTAM), implemented as EarthAgent for remote sensing, and introduces the GeoPlan-bench planning benchmark with metrics for tool selection, workflow comparison, and logical completeness. No model weights (training-free agent). Agent code is marked 'Coming soon' and not yet released; the GeoPlan-bench benchmark platform is available at https://github.com/earth-insights/GeoPlan-bench. Project page: https://earth-insights.github.io/EarthAgent.",EarthAgent code not yet released (Coming soon); no public weights.,No,https://github.com/earth-insights/EarthAgent,13
VRA,2025,arXiv,Reasoning Models,Agentic / Tool-Augmented Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2509.16343. The Visual Reasoning Agent (VRA) is a training-free, inference-time scaling system that combines off-the-shelf LVLMs with a large reasoning model through iterative Think-Critique-Act cycles for multi-model checking and recursive refinement, improving remote-sensing VQA (up to 40.67% gains; 52.8% to 78.8% with three LVLMs on VRSBench VQA). No model weights; no public GitHub repository or code was found.",No public code or model weights found.,No,No,
Earth-Agent,2026,ICLR,Reasoning Models,Agentic / Tool-Augmented Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2509.23141 (OpenReview: https://openreview.net/forum?id=dkIXAbWuxO). Earth-Agent is an agent framework for Earth observation that handles both standard imagery and spectral measurements, invokes specialized tools/models, and performs multi-stage scientific analysis. Code only, no public model weights. Companion benchmark Earth-Bench (248 tasks, 13,729 images, dual-level reasoning/result scoring) is hosted on HuggingFace.",,No,https://github.com/opendatalab/Earth-Agent,194
GeoMMAgent,2026,CVPR,Reasoning Models,Agentic / Tool-Augmented Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2604.08896. GeoMMAgent is a training-free, multi-agent 'plan-execute-evaluate' framework for expert-level multimodal QA in geoscience and remote sensing, paired with the GeoMMBench benchmark (1,053 image-linked MCQs). Code only for the agent (no trained agent weights); auxiliary tool weights (YOLO11 classification/OBB checkpoints) and the GeoMMBench dataset are on HuggingFace (shihaocheng/GeoMMAgent, AR-X/GeoMMBench). CVPR 2026 Highlight.",,No,https://github.com/Shihao-Cheng/GeoMMAgent,49
MAP-Agent,2026,arXiv,Reasoning Models,Agentic / Tool-Augmented Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2605.12237. From the UHR-Micro paper; MAP-Agent (Micro-evidence Active Perception) turns questions into evidence-search steps, examines candidate regions, and answers using localized observations to address tiny-object perception in ultra-high-resolution remote sensing. No model weights. Companion benchmark UHR-Micro (11,253 instructions, 1,212 UHR images). Official GitHub repo exists but is an empty placeholder with no code or weights yet.",GitHub repository (MiliLab/UHR-Micro) is an empty placeholder; code/weights not yet released.,No,https://github.com/MiliLab/UHR-Micro,1
OpenEarthAgent,2026,ECCV,Reasoning Models,Agentic / Tool-Augmented Reasoning,HuggingFace,https://huggingface.co/MBZUAI/OpenEarthAgent,ModelScope,https://modelscope.cn/models/MBZUAI/OpenEarthAgent,No,"Paper: https://arxiv.org/abs/2602.17665. OpenEarthAgent is a tool-augmented geospatial agent (Qwen3-4B based, 'OpenEarthAgent-4B') trained on satellite images, text requests, and explicit reasoning-step traces; it consolidates image, spectral, GIS, and raster tools into a shared callable catalog (14,538 training / 1,169 eval cases, 107,000+ steps). Model weights (apache-2.0) on HuggingFace at MBZUAI/OpenEarthAgent; companion dataset also on HuggingFace.",,https://modelscope.cn/models/MBZUAI/OpenEarthAgent,https://github.com/mbzuai-oryx/OpenEarthAgent,95
PMMC,2026,arXiv,Reasoning Models,Agentic / Tool-Augmented Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2608.00962. PMMC (Prospective Multimodal Memory Compilation) moves reasoning from question time to memory formation for long-term LVLM agents: a Questioner forecasts likely questions, a Planner prepares question-specific multimodal memory programs, and a Doubter verifies evidence paths, compiling approved pairs into a query bank for fast routing. No model weights; no public code released (paper is very recent, Aug 2026).","No public code or model weights found (paper very recent, Aug 2026).",No,No,
TerraAgent,2026,arXiv,Reasoning Models,Agentic / Tool-Augmented Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2606.13148. TerraAgent is a ReAct-style executable agent framework that interleaves reasoning, tool calls, and observations to connect LLM planning with tools for Earth-data retrieval, geospatial processing, simulation, and artifact-supported computation. Code only, no public model weights (repo keeps datasets, keys, and weights out). Companion benchmark TerraBench (403 agent tasks across 3 tracks and 8 domains, 24,500 validated execution steps).",,No,https://github.com/Takerdat23/TerraBench,4
PriorCLIP,2023,MM,Vision-Language Models,Contrastive VLMs,Baidu NetDisk,https://pan.baidu.com/s/1urfZ_64DFRelAQz-LYkcCQ?pwd=2v3v,,,No,"Paper: https://doi.org/10.1145/3581783.3612587 (ACM MM 2023; extended version: https://arxiv.org/abs/2405.10160). Proposes PriorCLIP for remote sensing image-text retrieval, using visual priors (Spatial-PAE and Temporal-PAE) for unbiased representation learning and adaptive vision-language alignment against semantic noise and domain shifts, with staged open-setting learning and a cluster-based symmetric contrastive attribution loss; benchmarked on RSICD and RSITMD. Checkpoints provided via Baidu NetDisk link in the official repo (extraction code 2v3v).",,No,https://github.com/jaychempan/PriorCLIP,30
GeoRSCLIP,2024,TGRS,Vision-Language Models,Contrastive VLMs,HuggingFace,https://huggingface.co/Zilun/GeoRSCLIP,,,No,"Paper: https://doi.org/10.1109/TGRS.2024.3449154 (arXiv: https://arxiv.org/abs/2306.11300). Builds RS5M, a 5-million-image remote sensing image-text dataset filtered from public paired data and captioned label-only RS datasets, and trains GeoRSCLIP by adapting CLIP through a domain pre-trained vision-language model, improving zero-shot classification, cross-modal text-image retrieval and semantic localization. Weights (RS5M_ViT-B-32.pt, RS5M_ViT-H-14.pt, plus GeoRSCLIP-FT for retrieval) at HF Zilun/GeoRSCLIP. Companion RS5M dataset: https://huggingface.co/datasets/omlab/RS5M and Baidu NetDisk links in repo.",,No,https://github.com/om-ai-lab/RS5M,314
RemoteCLIP,2024,TGRS,Vision-Language Models,Contrastive VLMs,HuggingFace,https://huggingface.co/chendelong/RemoteCLIP,,,No,"Paper: https://doi.org/10.1109/TGRS.2024.3390838 (arXiv: https://arxiv.org/abs/2306.11029; the batch's arXiv id 2306.09282 is incorrect). RemoteCLIP is a vision-language foundation model for remote sensing trained with contrastive learning; pretrained checkpoints for ResNet-50, ViT-B/32, and ViT-L/14 are hosted on HuggingFace (chendelong/RemoteCLIP), with the training dataset at huggingface.co/datasets/gzqy1026/RemoteCLIP. A personal third-party re-upload of all three official checkpoints exists at modelscope.cn/models/wokaikaixinxin/RemoteCLIP (not author-maintained).",,No,https://github.com/ChenDelong1999/RemoteCLIP,587
SatCLIP,2024,arXiv,Vision-Language Models,Contrastive VLMs,HuggingFace,https://huggingface.co/microsoft/SatCLIP-ViT16-L40,ModelScope,https://modelscope.cn/models/microsoft/SatCLIP-ViT16-L40,No,"Paper: https://arxiv.org/abs/2311.17179. SatCLIP learns global, general-purpose geographic location embeddings by contrastively aligning satellite image features with coordinates, enabling downstream geographic prediction tasks with improved cross-location generalization (Microsoft Research; also published at AAAI 2025). Six pretrained checkpoints on HuggingFace under microsoft/: SatCLIP-ResNet18-L10/L40, SatCLIP-ResNet50-L10/L40, SatCLIP-ViT16-L10/L40. Microsoft also mirrors ResNet18/ResNet50 variants (L10/L40) on ModelScope.",,https://modelscope.cn/models/microsoft/SatCLIP-ViT16-L40,https://github.com/microsoft/satclip,373
DGTRS-CLIP,2025,arXiv,Vision-Language Models,Contrastive VLMs,HuggingFace,https://huggingface.co/MitsuiChen14/DGTRS-CLIP-ViT-L-14,HuggingFace,https://huggingface.co/MitsuiChen14/DGTRS-CLIP-ViT-B-16,No,"Paper: https://arxiv.org/abs/2503.19311. Introduces DGTRSD, a dual-granularity remote sensing image-text dataset pairing each image with both a brief caption and a longer description, and DGTRS-CLIP, a CLIP-based vision-language foundation model trained on both caption scales; reported gains on retrieval, classification and localization without task-specific training. Checkpoints: DGTRS-CLIP-ViT-L-14 and DGTRS-CLIP-ViT-B-16 on HuggingFace. Companion DGTRSD dataset on ModelScope: https://www.modelscope.cn/datasets/MitsuiChen14/DGTRSD.",,No,https://github.com/MitsuiChen14/DGTRS,32
TimeSenCLIP,2025,arXiv,Vision-Language Models,Contrastive VLMs,HuggingFace,https://huggingface.co/pallavijainpj/TimeSenCLIP,,,No,"Paper: https://arxiv.org/abs/2508.11919 (also published in ISPRS J. PERS 2026, https://www.sciencedirect.com/science/article/pii/S0924271626001577). TimeSenCLIP is a compact time-series vision-language model for remote sensing that links Sentinel-2 satellite observations with location-tagged ground-level imagery through temporal contrastive learning without text labels, examining whether pixel-level spectral and temporal signals can support diverse tasks. Weights (TimeSenCLIP_1x1.ckpt) hosted on HuggingFace (pallavijainpj/TimeSenCLIP); no public GitHub repository found.",,No,No,
EarthGPT,2024,TGRS,Vision-Language Models,Generative Large VLMs,,,,,No,"Paper: https://arxiv.org/abs/2401.16822. Universal multimodal LLM with visual-enhanced perception, cross-modal mutual comprehension and unified instruction tuning for optical/SAR/infrared RS image comprehension. Model weights and code are not released; the official repo only shares the companion MMRS-1M dataset (1M+ image-text pairs from 34 datasets) via Baidu NetDisk (https://pan.baidu.com/s/1TOMdgiVMSvcYw-8TAp8Ryg?pwd=b2ru) and OneDrive links.",Model weights and code not released; only the MMRS-1M dataset is available,No,https://github.com/wivizhang/EarthGPT,160
EarthMarker,2024,TGRS,Vision-Language Models,Generative Large VLMs,,,,,No,"Paper: https://ieeexplore.ieee.org/document/10817639 (arXiv: https://arxiv.org/abs/2407.13596). EarthMarker is a visual-prompting multimodal large language model for remote sensing that takes boxes and points as visual cues, connects multi-scale image patterns with text, and transfers knowledge across domains; releases the RSVP dataset. Model weights not released; the official repo (wivizhang/earthmarker) currently contains only the README. RSVP dataset on Baidu NetDisk: https://pan.baidu.com/s/1_kMO5bBje7JXTNpxDiCvqg?pwd=gqdb (OneDrive version was listed as uploading).",Model weights and code not yet released; GitHub repo contains only README and a figure.,No,https://github.com/wivizhang/EarthMarker,46
GeoChat,2024,CVPR,Vision-Language Models,Generative Large VLMs,HuggingFace,https://huggingface.co/MBZUAI/geochat-7B,ModelScope,https://modelscope.cn/models/MBZUAI/geochat-7B,No,"Paper: https://arxiv.org/abs/2311.15826 (CVPR 2024). GeoChat is a grounded large vision-language model for remote sensing that builds a diverse instruction set for image captioning, VQA, visual grounding and region captioning, extending LLaVA to the remote sensing domain. LoRA-merged 7B checkpoint on HuggingFace (MBZUAI/geochat-7B); instruction dataset at https://huggingface.co/datasets/MBZUAI/GeoChat_Instruct; project page https://mbzuai-oryx.github.io/GeoChat/.",,https://modelscope.cn/models/MBZUAI/geochat-7B,https://github.com/mbzuai-oryx/GeoChat,743
LHRS-Bot,2024,ECCV,Vision-Language Models,Generative Large VLMs,Google Drive,https://drive.google.com/drive/folders/1dzWTE1k935MjMVnfLtTJiIqw7yCj-e3m?usp=drive_link,Baidu NetDisk,https://pan.baidu.com/s/1n1h_ZImeKTgvoNHjr5bq3Q?pwd=qhqw,No,"Paper: https://arxiv.org/abs/2402.02544 (ECCV 2024, DOI 10.1007/978-3-031-72904-1_26). LHRS-Bot empowers remote sensing with a VGI-enhanced large multimodal language model, using volunteered geographic information to improve geospatial perception and reasoning. Repo releases code, training framework, model weights and dataset; LHRS-Bot Stage-3 checkpoint on Google Drive (link above) and Baidu NetDisk (code qhqw), Stage-1/2 checkpoints also provided in README. Improved successor LHRS-Bot-Nova hosted at https://huggingface.co/LHRS/LHRS-Bot-Nova. Note: NMGeo/LHRS-Bot no longer exists; official repo is under the NJU-LHRS organization.",,No,https://github.com/NJU-LHRS/LHRS-Bot,194
RingMoGPT,2024,TGRS,Vision-Language Models,Generative Large VLMs,,,,,No,"Paper: DOI 10.1109/TGRS.2024.3510833 (IEEE TGRS), Wang Peijin, Hu Huiyang, Tong Boyuan et al., Sun Xian corr. Unified remote sensing foundation model for vision, language and grounded tasks, using domain-adaptive adapter training on frozen vision/language backbones with location-aware querying and multi-temporal change modeling. No public GitHub repository or model weights found on GitHub, HuggingFace or ModelScope.",Model weights not released; no public code repository found,No,No,
RSUniVLM,2024,arXiv,Vision-Language Models,Generative Large VLMs,Google Drive,https://drive.google.com/drive/folders/1TtaoOPmh167gpgHHWRNBMCaA7t_XZ4Vg?usp=sharing,,,No,"Paper: https://arxiv.org/abs/2412.05679. Unified vision-language model for remote sensing covering image-, region- and pixel-level tasks plus multi-image analysis (change detection/captioning) via a granularity-oriented mixture of experts, with a self-built instruction dataset. Checkpoints on Google Drive; online demo at https://huggingface.co/spaces/liux-cyber/RSUniVLM; project page https://rsunivlm.github.io/.",,No,https://github.com/xuliu-cyber/RSUniVLM,47
SkySenseGPT,2024,arXiv,Vision-Language Models,Generative Large VLMs,HuggingFace,https://huggingface.co/ll-13/SkySenseGPT-7B-CLIP-ViT,,,No,"Paper: https://arxiv.org/abs/2406.10100. Introduces FIT-RS, a fine-grained remote sensing instruction-tuning dataset (1,800,851 samples) with FIT-RSFG/FIT-RSRC benchmarks, and SkySenseGPT built on the SkySense foundation model for RS vision-language understanding. Model weights (CLIP-aligned LoRA/adapter) released on HuggingFace as ll-13/SkySenseGPT-7B-CLIP-ViT; companion FIT-RS dataset at https://huggingface.co/datasets/ll-13/FIT-RS.",,No,https://github.com/Luo-Z13/SkySense-Chat,149
